iteration,0,1,2,3
0,0,10000,0,0
10,11,9978,11,0
20,25,9950,25,0
30,53,9894,53,0
40,76,9848,76,0
50,118,9764,118,0
60,182,9636,182,0
70,258,9484,258,0
80,336,9328,336,0
90,384,9232,384,0
100,444,9112,444,0
110,477,9046,477,0
120,508,8984,508,0
130,529,8942,529,0
140,542,8916,542,0
150,554,8892,554,0
160,566,8870,562,2
170,578,8846,574,2
180,581,8839,579,1
190,589,8823,587,1
200,593,8815,591,1
210,604,8793,602,1
220,608,8786,604,2
230,612,8778,608,2
240,618,8765,616,1
250,622,8758,618,2
260,624,8754,620,2
270,628,8746,624,2
280,630,8742,626,2
290,635,8732,631,2
300,636,8730,632,2
310,636,8730,632,2
320,642,8718,638,2
330,647,8708,643,2
340,648,8706,644,2
350,649,8704,645,2
360,654,8694,650,2
370,663,8677,657,3
380,665,8673,659,3
390,671,8661,665,3
400,673,8658,665,4
410,677,8650,669,4
420,681,8642,673,4
430,689,8626,681,4
440,692,8620,684,4
450,701,8602,693,4
460,705,8594,697,4
470,709,8585,703,3
480,715,8574,707,4
490,718,8567,712,3
500,726,8552,718,4
